"FID","hid_tipo","hid_usr_al","hid_usr_ba","hid_estado","id_inst02","st_length_","Latitud_in","Latitud_fi","Longitud_i","Longitud_f","col_trial"
0,"Acequia",NA,NA,NA,0,130.124329896,-68.85263538,-68.85232611,-32.88378454,-32.88264061,"false"
1,"Acequia",NA,NA,NA,0,116.203726631,-68.8516057,-68.85167253,-32.88277542,-32.88381991,"false"
2,"Acequia",NA,NA,NA,0,154.610739984,-68.85245435,-68.85406664,-32.88261911,-32.88231447,"false"
3,"Acequia",NA,NA,NA,0,159.465877939,-68.85406664,-68.85442945,-32.88231447,-32.88371939,"false"
4,"Acequia",NA,NA,NA,0,182.861983567,-68.8560191,-68.85558904,-32.8836421,-32.88203368,"false"
5,"Acequia",NA,NA,NA,0,160.535596968,-68.85418944,-68.85454206,-32.88229042,-32.88370705,"false"
6,"Acequia",NA,NA,NA,0,200.398538408,-68.85720579,-68.85674446,-32.88357455,-32.88181,"false"
7,"Acequia",NA,NA,NA,0,184.542149453,-68.85571443,-68.85612385,-32.88200649,-32.88363424,"false"
8,"Acequia",NA,NA,NA,0,124.262389771,-68.85732886,-68.85865477,-32.88357768,-32.88351588,"false"
9,"Acequia",NA,NA,NA,0,60.5829435688,-68.85719509,-68.85732886,-32.8830432,-32.88357768,"false"
10,"Acequia",NA,NA,NA,0,147.691348481,-68.85856693,-68.85810295,-32.88282599,-32.88155548,"false"
11,"Acequia",NA,NA,NA,0,132.591137814,-68.85686249,-68.85717991,-32.88178662,-32.8829518,"false"
12,"Acequia",NA,NA,NA,0,163.96124824,-68.86051157,-68.85876059,-32.88344811,-32.88350266,"false"
13,"Acequia",NA,NA,NA,0,160.054828499,-68.86026403,-68.85859921,-32.88214429,-32.88247522,"false"
14,"Acequia",NA,NA,NA,0,106.56168693,-68.8600729,-68.86026403,-32.88119706,-32.88214429,"false"
15,"Acequia",NA,NA,NA,0,291.765670557,-68.85815016,-68.85984124,-32.88143489,-32.88009753,"false"
16,"Acequia",NA,NA,NA,0,201.070207058,-68.85984124,-68.8577423,-32.88009753,-32.88048522,"false"
17,"Acequia",NA,NA,NA,0,240.819157275,-68.85868105,-68.85720972,-32.88015757,-32.87921657,"false"
18,"Acequia",NA,NA,NA,0,132.659680554,-68.85720972,-68.8576879,-32.87921657,-32.88034265,"false"
19,"Acequia",NA,NA,NA,0,132.885031219,-68.85757916,-68.85709755,-32.88037429,-32.87924709,"false"
20,"Acequia",NA,NA,NA,0,130.521973665,-68.85623918,-68.8565386,-32.87941063,-32.88056009,"false"
21,"Acequia",NA,NA,NA,0,99.5312218064,-68.8565386,-68.85757916,-32.88056009,-32.88037429,"false"
22,"Acequia",NA,NA,NA,0,101.089058717,-68.85763168,-68.85657548,-32.88052204,-32.88071332,"false"
23,"Acequia",NA,NA,NA,0,110.677143927,-68.85657548,-68.8568395,-32.88071332,-32.88168611,"false"
24,"Acequia",NA,NA,NA,0,111.887977501,-68.85803029,-68.85763168,-32.88147321,-32.88052204,"false"
25,"Acequia",NA,NA,NA,0,111.420705569,-68.856462,-68.85670782,-32.88073,-32.88171303,"false"
26,"Acequia",NA,NA,NA,0,109.734439859,-68.85569937,-68.85543997,-32.88189605,-32.8809311,"false"
27,"Acequia",NA,NA,NA,0,98.2059934779,-68.85543997,-68.856462,-32.8809311,-32.88073,"false"
28,"Acequia",NA,NA,NA,0,135.395201854,-68.85531817,-68.85390721,-32.8809477,-32.88121799,"false"
29,"Acequia",NA,NA,NA,0,135.065035098,-68.8541652,-68.8555769,-32.88218187,-32.88192825,"false"
30,"Acequia",NA,NA,NA,0,111.408261587,-68.8555769,-68.85531817,-32.88192825,-32.8809477,"false"
31,"Acequia",NA,NA,NA,0,155.40510712,-68.85379188,-68.85216948,-32.88124678,-32.88154596,"false"
32,"Acequia",NA,NA,NA,0,153.926481841,-68.85242663,-68.85403105,-32.8825174,-32.88221133,"false"
33,"Acequia",NA,NA,NA,0,111.000517937,-68.85205657,-68.85230283,-32.88156076,-32.88253984,"false"
34,"Acequia",NA,NA,NA,0,70.0365733609,-68.85230283,-68.85157129,-32.88253984,-32.88267328,"false"
35,"Acequia",NA,NA,NA,0,111.737266119,-68.85157129,-68.85140213,-32.88267328,-32.88167592,"false"
36,"Acequia",NA,NA,NA,0,131.25660201,-68.8511262,-68.85138817,-32.88037063,-32.88152935,"false"
37,"Acequia",NA,NA,NA,0,130.237644842,-68.85201065,-68.85170634,-32.88140711,-32.88026119,"false"
38,"Acequia",NA,NA,NA,0,5.13373214143,-68.85117932,-68.8511262,-32.88035907,-32.88037063,"false"
39,"Acequia",NA,NA,NA,0,160.532082072,-68.85182602,-68.85346371,-32.88023624,-32.87997664,"false"
40,"Acequia",NA,NA,NA,0,154.077903727,-68.85374983,-68.85214238,-32.88108749,-32.88138831,"false"
41,"Acequia",NA,NA,NA,0,83.1667751922,-68.85202644,-68.85182602,-32.88096683,-32.88023624,"false"
42,"Acequia",NA,NA,NA,0,108.397734746,-68.85316352,-68.8534145,-32.87887682,-32.87983101,"false"
43,"Acequia",NA,NA,NA,0,262.68103487,-68.85527514,-68.85499348,-32.8807981,-32.87964699,"false"
44,"Acequia",NA,NA,NA,0,137.166077226,-68.85499348,-68.85356112,-32.87964699,-32.87990951,"false"
45,"Acequia",NA,NA,NA,0,130.744896609,-68.85640883,-68.8561295,-32.88058479,-32.87942967,"false"
46,"Acequia",NA,NA,NA,0,5.183156081,-68.85515685,-68.85510678,-32.87960853,-32.8796285,"false"
47,"Acequia",NA,NA,NA,0,131.638921062,-68.85848409,-68.85879893,-32.87898255,-32.88013942,"false"
